date,iv_30d,iv_60d,iv_90d
2010-06-04,0.3058772119874761,0.29884859999607516,0.2924306011242862
2010-06-07,0.3200458693263658,0.3086525339558446,0.30080778108499356
2010-06-08,0.29322818462508976,0.28926123393870795,0.2856116974793661
2010-06-09,0.29947285126464407,0.2926587469000964,0.2880490753331638
2010-06-10,0.26647844988504876,0.26601260387891107,0.26474641578684416
2010-06-11,0.24953456828507395,0.2572167354718168,0.25875976757359165
2010-06-14,0.2546473011442637,0.25774795497786407,0.2581646055384914
2010-06-15,0.22481587084483523,0.23123772449118107,0.23513743997181796
2010-06-16,0.22654256970162123,0.23372006410491672,0.23603630328564196
2010-06-17,0.21773327809959064,0.22652807886339646,0.2297606391748615
2010-06-18,0.20641502246572754,0.21698669480248725,0.22215334614794444
2010-06-21,0.21754175677959642,0.22211662325011855,0.22550572275419542
2010-06-22,0.240012049083132,0.24027908836328746,0.24103176058921044
2010-06-23,0.24069527007563957,0.24193956847702294,0.24433135436990755
2010-06-24,0.2670925846553785,0.263438481305384,0.26242235710581985
2010-06-25,0.2512716063465088,0.251438887456143,0.2552171248736995
2010-06-28,0.2563966397474171,0.25546937982440665,0.25875083897131007
2010-06-29,0.3052419616229632,0.2964482232794303,0.29535853718656496
2010-06-30,0.3102894169880754,0.3042105436404865,0.3027029747926456
2010-07-01,0.30040991262828404,0.2989457184026349,0.3007017145326196
2010-07-02,0.27672585071232064,0.28188179752483344,0.28887302135811554
2010-07-06,0.2717274709410479,0.2716924632923531,0.2778172734948647
2010-07-07,0.24073059101808378,0.2447174483510277,0.25441609706859725
2010-07-08,0.23303315716690332,0.23997015352860263,0.25128489910321744
2010-07-09,0.22223966008751084,0.2333319428763415,0.24275098704973502
2010-07-12,0.23104450638787727,0.23729240399752788,0.24667973805697824
2010-07-13,0.22624288217411934,0.23347550430061711,0.2427905048655569
2010-07-14,0.2324087707296003,0.237695106017671,0.2485907279073955
2010-07-15,0.23465113837155419,0.2385634947816437,0.24973186834464003
2010-07-16,,0.2497407058794851,0.2617358992108325
2010-07-19,,0.24622385418254958,0.25830064548039255
2010-07-20,,0.2294872214495433,0.2423405518377485
2010-07-21,0.23411248990175557,0.24333693371801882,0.2531612923980724
2010-07-22,0.2218892972236711,0.22938347560842418,0.23882223606247693
2010-07-23,0.2125788872203804,0.21968945903218592,0.2306917397510948
2010-07-26,0.20237079275017436,0.21431374283126864,0.22515152913693492
2010-07-27,0.20630473730620355,0.2155119699608162,0.22621129219882127
2010-07-28,0.2153721817473218,0.22284317374806561,0.23176896639171762
2010-07-29,0.21545598617764178,0.22403426663901313,0.2326595183110204
2010-07-30,0.20889668348885074,0.22063764137936018,0.2308983084263781
2010-08-02,0.19209621777211816,0.20390698585784456,0.21540412162278819
2010-08-03,0.1967186455710514,0.20806965695329746,0.21867881756390933
2010-08-04,0.1939967137318361,0.2068605043423661,0.2179553719300972
2010-08-05,0.1917877852507221,0.20832873587614978,0.22076822601950616
2010-08-06,0.19185983101398513,0.21016182792160637,0.222400829168921
2010-08-09,0.19215752732536584,0.20857637836510276,0.22121530357745994
2010-08-10,0.19350061498148421,0.21265752358765602,0.22372468884003588
2010-08-11,0.2280434558557863,0.24108076828351008,0.24954268155935888
2010-08-12,0.23438184077770377,0.24745300185729005,0.2547161337967383
2010-08-13,0.23838572786705692,0.2534209289441779,0.2615077446064921
2010-08-16,0.2352054683881836,0.2518712314000534,0.26073322720758224
2010-08-17,0.2161330756256646,0.23842824355658115,0.2481301372652074
2010-08-18,0.2163655730145444,0.23874999025412066,0.24714741321863104
2010-08-19,0.236856829807959,0.2535335761760288,0.2610679554429895
2010-08-20,0.22611850658744279,0.24738552491151544,0.2585729268782265
2010-08-23,0.23089336138144798,0.24728837983266755,0.2562591790277738
2010-08-24,0.24979412769543305,0.2596712467541393,0.26600872887517
2010-08-25,0.24346520751141618,0.254342774978278,0.26096882237127766
2010-08-26,0.2512353871123197,0.2607023010266903,0.26617245874446455
2010-08-27,0.22326165832416717,0.238174783259304,0.2473383687768447
2010-08-30,0.24954480407250337,0.2596013901226034,0.26417187833957895
2010-08-31,0.24368367872643054,0.25322968713302246,0.259360804382767
2010-09-01,0.22063023792019262,0.23277332353979946,0.24041145247756757
2010-09-02,0.20912826219811373,0.22338506247194015,0.23273648872998437
2010-09-03,0.19022386832347715,0.20879204432544857,0.21945664949701385
2010-09-07,0.2154335610072647,0.22747183353191588,0.23468652548805402
2010-09-08,0.20763971635752568,0.22078527465857006,0.22966575741613285
2010-09-09,0.20250433234444806,0.2175287932026443,0.22766773860536998
2010-09-10,0.19541233013808493,0.21214295691982404,0.22157984885376203
2010-09-13,0.19054016665645104,0.20610030586020875,0.2148621620047258
2010-09-14,0.19368883940340123,0.20813961211000306,0.21582348589421946
2010-09-15,0.19609245526094188,0.20918207311897177,0.21624599769170544
2010-09-16,0.18998985633128487,0.20655315281253467,0.2166654442037287
2010-09-17,0.19116111507459305,0.20613281866934763,0.21562451797448973
2010-09-20,0.18849260279913047,0.20075709303160302,0.21073850497783272
2010-09-21,0.19592164890836614,0.2044475607606674,0.2129656677535415
2010-09-22,0.19916443199806025,0.2088379223784609,0.2166129603348905
2010-09-23,0.21208996808138253,0.22051692080094598,0.2278478357566238
2010-09-24,0.18872429824223033,0.20058709847766387,0.21061451819698213
2010-09-27,0.20132339686251471,0.20871207078867754,0.21768537029522647
2010-09-28,0.20163545464958346,0.21093119797523766,0.2184628128866821
2010-09-29,0.20730332024578998,0.21626351537994246,0.22252040486812513
2010-09-30,0.21146254528520275,0.2207299164224561,0.22817822975860674
2010-10-01,0.20170770522072437,0.21363599113565784,0.22233966491952206
2010-10-04,0.21162170575884454,0.22119131965358899,0.22930293185859318
2010-10-05,0.19724411761049976,0.2082378683829436,0.21781829508958833
2010-10-06,0.19500749795991676,0.20714388280135335,0.21731888281345405
2010-10-07,0.19641831445624394,0.20855806149566006,0.2180407850495225
2010-10-08,0.1894578441844557,0.2019229483535351,0.20943740304848235
2010-10-11,0.18972079421582305,0.20130056133199523,0.2097581989480843
2010-10-12,0.1853617983543304,0.19691347953108562,0.20681102853013691
2010-10-13,0.18184315051700287,0.19392680548381058,0.20292750079127678
2010-10-14,0.1869899213272626,0.1978566273106085,0.20592341314022464
2010-10-15,,0.1935200302505467,0.20319837620836406
2010-10-18,,0.18877123285674344,0.19839648822564063
2010-10-19,,0.19918230517740326,0.20615219549559366
2010-10-20,0.17769701300608415,0.19152685398957456,0.19913959754074123
2010-10-21,0.17570823441384406,0.18685866986738073,0.19493560293835255
2010-10-22,0.17183239089708424,0.18149550024024216,0.18998172882697004
2010-10-25,0.1789139222106775,0.186600325610873,0.19519051745410168
2010-10-26,0.1830065977166955,0.19031138455245164,0.19779814353918473
2010-10-27,0.18715132170018625,0.19325569347109395,0.2007603631285903
2010-10-28,0.1886226778834559,0.19385206418756298,0.20139047514981886
2010-10-29,0.19261044191794577,0.19677752418424546,0.2031732625386574
2010-11-01,0.19521417081056733,0.19923661620643313,0.20611804720600185
2010-11-02,0.19440929215168853,0.19812481922097722,0.2056344076363866
2010-11-03,0.17630114012110906,0.18295747352709407,0.1912504993275959
