time,avg_return,cum_return,avg_volume,cum_volume
00:00,-9.960613572898096e-07,-0.015613009963516777,3499.071639275179,16606594
00:30,4.00645657254438e-05,0.1379611877985607,3376.7985672144964,16026286
01:00,-1.1279940640338527e-05,-0.03728883300847674,4275.881907963858,20348922
01:30,4.345270185252318e-05,0.15062935862776095,4451.0808993486025,21182694
02:00,6.170112714352607e-05,0.22008793707848429,8113.967885062329,38403410
02:30,2.2661913424653618e-05,0.07509641846636739,7355.572364251004,34813924
03:00,2.3623986391369843e-05,0.07587117490159989,18917.434471133587,89782144
03:30,9.542785129710899e-06,0.028942361066772282,14429.903076274757,68484320
04:00,6.865327953505608e-06,0.01978598254888464,15025.493046776233,71310990
04:30,-1.5997647470298008e-06,-0.007598703125793138,12340.645596291613,58568704
05:00,3.026871001481982e-06,0.007910431184410038,11981.687737041719,56865090
05:30,1.5107240195293102e-05,0.04873485037925529,11332.167298777918,53782466
06:00,-2.5475826984400213e-05,-0.08177327287072,11759.009900990099,55820020
06:30,5.548516503590049e-05,0.19586273226179052,12202.530861596799,57925414
07:00,2.3770394532353223e-05,0.07800644358382192,15082.613018748683,71597164
07:30,-3.083243356017238e-05,-0.09777138894079462,16840.02654307984,79939606
08:00,3.0455880153782603e-06,0.006034018092792248,22807.656625236992,108267946
08:30,1.9637364304519638e-05,0.05753239652629105,40150.453760269644,190594204
09:00,7.076881254156241e-06,0.02034150466037654,40304.31767432062,191324596
16:00,5.431476027309416e-05,0.1884241084544367,89571.26522013903,425194796
16:30,1.8302793677003668e-05,0.05923135335839902,12786.092690120076,60695582
18:00,-2.704551825293319e-05,-0.06978536462445895,5580.909397387273,26486996
18:30,5.817207563321524e-06,0.013741361302315624,3147.173619890434,14936486
19:00,5.459466615205341e-06,0.013075731818959824,3839.663716814159,18223044
19:30,2.4175981484378144e-06,0.005084823028119301,3775.481247366203,17918434
20:00,1.1938376592827172e-05,0.029498537689885307,6042.963337547409,28679904
20:30,-1.6968417763681187e-05,-0.04431608301690193,5116.733249051833,24284016
21:00,4.634181780527957e-06,0.00977340381812164,5250.083017277708,24916894
21:30,1.0466194991053045e-05,0.025574273741571618,5281.022756005057,25063734
22:00,-1.6354167517491533e-05,-0.04260042400327013,4358.350611040876,20684732
22:30,-1.2407022058715328e-05,-0.03252310106495693,3729.9262536873157,17702230
23:00,8.184136020414435e-06,0.020551311413031348,3218.78002528445,15276330
23:30,2.249834095327915e-06,0.005076946333011367,3013.1554993678888,14300436
