time,avg_return,cum_return,avg_volume,cum_volume
09:30,6.783228564952894e-05,0.22807309588656155,13899.816515694123,65982429
10:00,2.5836354081994392e-06,-0.0011515381720607065,9257.475879502845,43945238
10:30,-4.301440117628147e-05,-0.13799425852753233,7411.828733937224,35183951
11:00,3.5703078914708366e-05,0.11528996543152292,6367.709079418581,30227515
11:30,4.874494016449368e-05,0.16635312726111606,5348.146408257847,25387651
12:00,1.9580179479212294e-06,0.0016647821012800712,4502.448704444912,21373124
12:30,4.246472369095893e-05,0.1434186418094725,3956.531704234253,18781656
13:00,-4.0803197517774863e-05,-0.12931536742852678,3932.919528123025,18669569
13:30,1.9136868674975415e-05,0.059111911433121556,3806.5698335791026,18069787
14:00,1.6084641129380814e-05,0.047107992635587737,4633.6128080893195,21995760
14:30,5.5523640963572044e-05,0.18950259491712074,4473.557825995365,21235979
15:00,2.4762896692610776e-05,0.07739359177803617,4897.206024857805,23247037
15:30,-5.690259574916403e-05,-0.17880274384010464,8066.010954286918,38289354
