time,avg_return,cum_return,avg_volume,cum_volume
00:00,8.33038492107627e-06,0.016641781981604264,346.34450063211125,1643751
00:30,4.055326335557258e-05,0.13995510366346764,356.7368310155921,1693073
01:00,-1.1604343200520198e-05,-0.038264716229091555,435.7846186173566,2073899
01:30,3.146145683235548e-05,0.10682915545860938,442.6957343979828,2106789
02:00,5.7288255445862275e-05,0.20301854435527544,789.7923093175576,3738087
02:30,9.316898784951021e-06,0.029467397870823087,687.19268962603,3252483
03:00,2.2325245844191545e-05,0.07169523125194788,1637.8019384745048,7773008
03:30,2.7789620662820423e-06,0.006740041708111599,1220.081963758955,5790509
04:00,-1.3689242542027763e-05,-0.04610411268275805,1355.462073324905,6433023
04:30,8.780458273349654e-07,0.0006850567041150057,1064.8048883270121,5053564
05:00,5.52801356632182e-06,0.016325833945657786,1011.0520438263801,4798453
05:30,1.716391525924887e-05,0.05596121007113353,958.0305520438263,4546813
06:00,-2.8205052734654027e-05,-0.08994256601380635,1015.5715188540131,4820918
06:30,5.257511891345852e-05,0.18452562038847553,1031.5338108278913,4896691
07:00,1.8756116728211106e-05,0.06082031051308534,1222.3288392669053,5802395
07:30,-2.9515596030824062e-05,-0.09382601743385266,1271.5359174215293,6035981
08:00,-7.139039947376415e-06,-0.02650522206727224,1609.723614914683,7641358
08:30,1.423431139579833e-05,0.040855284403673364,2503.6602064461767,11884875
09:00,-1.2649380441673777e-05,-0.043366387571162957,2460.892985043185,11681859
09:30,6.788768724566556e-05,0.22829552110131734,13900.38213608595,65985114
10:00,2.5584614005169187e-06,-0.001233639567424727,9257.221192332,43944029
10:30,-4.3038683490473e-05,-0.13806279680890032,7410.607120286497,35178152
11:00,3.5742074408926867e-05,0.11543212072384268,6367.355171687382,30225835
11:30,4.875690818686194e-05,0.16639874871026028,5348.331577838635,25388530
12:00,1.926854311195266e-06,0.0015627910231059694,4502.799662945018,21374790
12:30,4.24653024539219e-05,0.1434208022379877,3956.1613650726777,18779898
13:00,-4.077988840856394e-05,-0.12924911690015628,3932.8872972403624,18669416
13:30,1.9145498832219387e-05,0.05914149680202452,3806.8386349273223,18071063
14:00,1.6088099526852213e-05,0.047119716547835866,4634.18748683379,21998488
14:30,5.5531051441148623e-05,0.18953117206308323,4473.765957446809,21236967
15:00,2.4795220325989955e-05,0.07750635664348748,4897.478618074573,23248331
15:30,-5.69097147360999e-05,-0.17882163133472262,8066.428481145987,38291336
16:00,6.419249901237039e-05,0.2281980366340024,2422.056035390773,11497500
16:30,4.22193244255036e-05,0.14414268781475625,559.939540762587,2658033
18:00,-3.969867021074752e-05,-0.0994925863764149,404.50695322376737,1919790
18:30,2.0631604938439202e-05,0.05316896860609721,271.47134428992837,1288403
19:00,9.245828959941964e-06,0.023123870928605017,337.9230931310577,1603783
19:30,6.060035171104338e-06,0.014683158367041926,354.7802359882006,1683787
20:00,1.2779929092129258e-05,0.031987154405016094,524.433628318584,2488962
20:30,-1.525316881724033e-05,-0.0400504629409556,452.3883270122208,2147035
21:00,4.3515406192358816e-06,0.009165017831703093,467.6462284028656,2219449
21:30,5.124952248268027e-06,0.011733931027159361,463.9380530973451,2201850
22:00,-1.8573108030026463e-05,-0.047930555836585786,391.4795617361989,1857962
22:30,-1.0131973845142898e-05,-0.02677678915272841,348.6921618204804,1654893
23:00,5.854716429996779e-06,0.01454657694826933,307.0811209439528,1457407
23:30,8.528556920743307e-06,0.021605209759590682,288.62262958280655,1369803
