date,ES,NQ,YM,RTY
2013-01-03,0.9993138936535162,0.9996352694446976,0.9988004198530515,
2013-01-04,1.0006879931979005,0.99972686985425,0.9992502624081573,
2013-01-07,0.9967489509518707,0.9969684953397988,0.9967074505735734,
2013-01-08,0.9948666782547941,0.9965101611657734,0.9950602477556183,
2013-01-09,0.9970938638613573,0.9977956253006965,0.997385330116395,
2013-01-10,1.0024021087144745,1.0043009962278178,1.0008276864478292,
2013-01-11,1.0022312835425735,1.0041176124980218,1.0003797552141511,
2013-01-14,1.0006946427330534,0.9988096630334862,0.9997838033158926,
2013-01-15,0.9960870787231979,0.9941457468263165,0.9955449103681832,
2013-01-16,0.9945585563517557,0.9957921377953913,0.9920704460637869,
2013-01-17,0.9991355260162347,1.0000815916013104,0.9956119737605786,
2013-01-18,0.9994740438973176,0.996616052618924,0.9967151856691558,
2013-01-22,0.9994740438973176,0.9972534498202335,0.9971556254330397,
2013-01-23,0.9998101145240486,1.0026223661026858,1.0004446383440189,
2013-01-24,0.9983000807884024,0.9892492159514203,1.0015387379047627,
2013-01-25,1.001649519073215,0.9927074928793095,1.0045942058347401,
2013-01-28,1.002150928810779,0.9928891909653127,1.0059738437032517,
2013-01-29,1.0004767708942894,0.9917104184098288,1.005028242837876,
2013-01-30,1.0003103575924108,0.9933398832689229,1.0051729240791971,
2013-01-31,0.9989741607547519,0.9927038840753911,1.0041569381621436,
2013-02-01,1.004488738758249,0.9995281545891999,1.010699150731609,
2013-02-04,0.9983282740915732,0.9935489233553663,1.0041036955350096,
2013-02-05,1.0038503714843026,0.997765090373295,1.0092603944415546,
2013-02-06,1.0001860761180084,0.9938661537242536,1.0052723693180339,
2013-02-07,1.000351916953047,0.9951351118776636,1.005055902399576,
2013-02-08,1.0018467147701777,1.00021325715424,1.005851384837797,
2013-02-11,1.001681257013816,1.0008447049175946,1.0054184191796418,
2013-02-12,1.0018467147701777,0.9998518929639383,1.0057794830377111,
2013-02-13,1.003994473228623,1.0032019355284285,1.007219293334809,
2013-02-14,1.000851821664975,0.9983153303941568,1.0035388330668376,
2013-02-15,1.0016754324464636,0.9986757330405085,1.0039704317334852,
2013-02-19,1.0029955977610554,1.0006640467171501,1.004761979522266,
2013-02-20,1.0025033702470225,1.0006640467171501,1.004761979522266,
2013-02-21,1.0001781470555946,0.9971942744956654,1.0028105643699783,
2013-02-22,1.0053465955567986,1.0026223086496688,1.0080226022415324,
2013-02-25,1.010657985858568,1.0097668856709254,1.012059594712785,
2013-02-26,1.0157597424757239,1.0120093586288326,1.017132390879804,
2013-02-27,1.014910870887494,1.012382415253523,1.0165462741091464,
2013-02-28,1.014910870887494,1.0124747606348286,1.0155341378572775,
2013-03-01,1.011554129128316,1.0081285816458947,1.0128557742461348,
2013-03-04,1.0090535833246042,1.0051003417774882,1.0100496809595256,
2013-03-05,1.0145159796910268,1.0113856348337367,1.0144878865030755,
2013-03-06,1.0181427836483234,1.0143658764579453,1.0186926483789929,
2013-03-07,1.0194644033577485,1.0153647149362408,1.0199052928032237,
2013-03-08,1.0236068178005628,1.0187237634585893,1.0259143808075735,
2013-03-11,1.0229441818932636,1.0175409994213507,1.0257711266875138,
2013-03-12,1.0224492089020252,1.0146412477086886,1.0256997488344286,
2013-03-13,1.023110239585007,1.0156390175750212,1.026056365115923,
