,ES,NQ,YM,RTY
00:00,-9.960613572898096e-05,0.003796297570725856,0.0007368874854456359,0.003386678183922556
00:30,0.00400645657254438,0.004505719749910518,0.004059633484226872,0.0019019624979532239
01:00,-0.0011279940640338527,-0.0004690105668427634,-0.0011639120169483826,-0.00015067735218397786
01:30,0.004345270185252318,0.004678457537963339,0.003145001992285202,0.0042423032344318795
02:00,0.006170112714352607,0.006204135015599293,0.005730762303388558,0.004519868253957594
02:30,0.002266191342465362,0.004124010838870506,0.0009274355347420082,-0.0002583092344188716
03:00,0.002362398639136984,0.0016044776601093198,0.0022330348268488646,0.0014336869988267283
03:30,0.0009542785129710899,0.0016145759308300411,0.00027639172576866047,0.004134783746292252
04:00,0.0006865327953505608,-0.0005689757987304648,-0.0013663011857115044,-0.00018454653421194476
04:30,-0.0001599764747029801,6.997034619236575e-05,8.63757567941892e-05,0.000773613199785915
05:00,0.0003026871001481982,0.00019939768166154102,0.0005539267536254709,0.004580178162007332
05:30,0.0015107240195293102,0.0017698361530974075,0.0017166221960918195,0.00508208682172488
06:00,-0.002547582698440021,-0.003104325223012379,-0.0028223176154687666,-0.005175728859523487
06:30,0.005548516503590049,0.0037376032567093135,0.005256357567483109,0.012097966062406089
07:00,0.002377039453235322,0.004117069084888267,0.0018762149020273731,0.004978567501173352
07:30,-0.003083243356017238,-0.0023437844295521814,-0.002952095718715177,-0.0046469712128005165
08:00,0.00030455880153782604,0.0006382242298033371,-0.0007002256770444584,0.00044439952256103475
08:30,0.001963736430451964,0.001683248861149418,0.0014109387538567514,0.01035983455344694
09:00,0.0007076881254156241,-0.0030670630835997856,-0.0012654035058237336,-0.004057693959018901
09:30,0.006105325080724052,0.011050339450817414,0.006783228564952894,-0.004972504532148225
10:00,0.0001815614280869043,-0.0007289554041173086,0.0002583635408199439,-0.007308950982222983
10:30,-0.004778486548585874,-0.009072580796632715,-0.004301440117628147,-0.008563898358653954
11:00,0.004835616531594119,0.009474478169563995,0.0035703078914708364,0.003322705003107187
11:30,0.005207420499235842,0.005572864637469173,0.004874494016449368,0.010309552975057285
12:00,3.3489825610311336e-05,-0.0015488367630729057,0.00019580179479212294,-0.0011991395255164592
12:30,0.005004903642786175,0.00312177300122135,0.004246472369095893,0.0007793102544672694
13:00,-0.004156693575634025,-0.002596575302952898,-0.004080319751777486,-0.005973233817494081
13:30,0.0024160104117229857,0.0021946762888517914,0.0019136868674975414,0.0060575936310848875
14:00,0.0020741674433977938,0.0016271932227042046,0.0016084641129380814,-0.0012108616768597784
14:30,0.006421392867369384,0.011396849260989605,0.005552364096357204,0.009026564532510262
15:00,0.0014749975518693168,-0.0025704608326101615,0.0024762896692610776,-0.007791025198906125
15:30,-0.004973305185952722,-0.002847247978113934,-0.005690259574916403,-0.016167655710947994
16:00,0.005431476027309415,0.009513838896408203,0.006423216216298461,0.007601019214542808
16:30,0.0018302793677003669,0.006133405915787339,0.004221058424281918,0.0012324335458196631
18:00,-0.002704551825293319,-0.004549285096749391,-0.003969867021074752,0.0021056699918242873
18:30,0.0005817207563321524,0.0002204773866264289,0.0020631604938438387,0.00013182094085918954
19:00,0.000545946661520534,0.0016153390528039027,0.0009245828959940975,0.0023643114817407116
19:30,0.00024175981484378145,0.0016327695631878087,0.0006060035171105759,-0.0007253592150417209
20:00,0.0011938376592827173,0.0033346812166694883,0.0012779929092129,0.00214952361441258
20:30,-0.0016968417763681186,-0.0001838209722925469,-0.0015253168817241747,-0.0019878250827130733
21:00,0.00046341817805279576,0.0008909050096235302,0.00043515406192359677,-0.0006096739324280446
21:30,0.0010466194991053045,0.0015249200958138223,0.0005124952248271341,0.0028927841804272246
22:00,-0.0016354167517491534,-0.0007709076612814388,-0.0018573108030031284,-0.001302196922357837
22:30,-0.0012407022058715327,-0.001594218623616193,-0.0010131973845142123,-0.0009154809437519377
23:00,0.0008184136020414434,0.0011684104874687328,0.0005854716429997596,0.0028822166731044415
23:30,0.0002249834095327915,-0.0001481903812558426,0.0008528556920741114,-0.0004355814316584626
