,ES,NQ,YM,RTY
00:00,0.16720397336480336,0.25184017708985557,0.3161261757932026,0.12461492933914795
00:30,0.16136112543491585,0.24966473160004926,0.32561266094236346,0.1340717084341421
01:00,0.2043240374462101,0.3067546865806723,0.39777720834245367,0.15416794958973506
01:30,0.212695963062201,0.3135959730264741,0.40404992837403847,0.17364471401007311
02:00,0.3877278918524414,0.49768184037513996,0.7208476695715443,0.30495477693019524
02:30,0.35148778089318405,0.4486657779968652,0.6272720059947684,0.2859807012472554
03:00,0.9039741210034363,0.9574372633611692,1.494727536858196,0.6603043416476955
03:30,0.6895363623140705,0.7514223897363923,1.113597054188077,0.4997300995566574
04:00,0.7179967711968968,0.8367466880235936,1.237244038538996,0.5843588659415822
04:30,0.5897006950147062,0.6595481088331437,0.9719135947686351,0.48344864231204576
05:00,0.5725478080422237,0.6302520333693427,0.9227074047518536,0.4670709657509018
05:30,0.541510318886428,0.5918836958363031,0.8743175232053992,0.44773992797275414
06:00,0.5619070945026119,0.6242503277239136,0.9269103597628442,0.4949086348768205
06:30,0.5831008494551045,0.6436587245446377,0.9414818090031504,0.5096377833684828
07:00,0.7207262626897484,0.8154531449677163,1.1155665137565884,0.6567452185330064
07:30,0.8047046873710106,0.864227011780577,1.1605101610835622,0.7205392744948181
08:00,1.089869315070573,1.1894722367515698,1.4690797428678277,1.128956298178319
08:30,1.918599015168359,2.0823925523397753,2.285232399869796,2.091543392752513
09:00,1.9259514390221653,2.081086645792378,2.2461505160224924,2.122197008172634
09:30,11.488982703955331,12.89940511379061,12.685669999414317,13.981832131705296
10:00,8.728994534418053,9.19185121754143,8.448836997403083,8.74029244962696
10:30,7.079350552444696,7.396423915258514,6.7644068038411165,6.8060263175765385
11:00,6.120643050313538,6.25902059523545,5.811490816628565,5.691106325375352
11:30,5.233085926391736,5.365468824835083,4.880986764617303,4.900383511091186
12:00,4.356738935586436,4.598392432241181,4.109160605781308,4.149295136168077
12:30,3.8731725337129563,4.070885538556999,3.6109293590649703,3.768949575922447
13:00,3.884297525150804,4.0032793765538734,3.58937970236433,3.6469504318999153
13:30,3.743676610629355,3.844088697045609,3.474066631310388,3.467192685564734
14:00,4.51366849806692,4.45450608610363,4.228867548151607,3.996681139153714
14:30,4.486382512742218,4.323140201126231,4.082793340458752,4.0721866167826075
15:00,5.0477859244553835,4.659537056641488,4.469435944017378,4.528274536163342
15:30,10.945364420524553,7.66968436033719,7.361446322849899,12.89804526051862
16:00,4.280184285458708,2.473139661327708,2.210346636285799,4.3745685871876185
16:30,0.6109864907028882,0.5153770474281937,0.5110364189030266,0.7823656347450358
18:00,0.2666850874837822,0.34387105120582095,0.3691733423438637,0.30338352613182606
18:30,0.15038844252516548,0.2131904432680878,0.24775837034043358,0.16274879864466604
19:00,0.18347924707508592,0.2615535997814182,0.3084055706635979,0.17798907671784703
19:30,0.18041227245484456,0.2609195830100393,0.32379024507115217,0.18278970255820337
20:00,0.2887644452872827,0.3884159622660066,0.47862444356250816,0.23997327320605683
20:30,0.24450431945614243,0.34280104521126176,0.41287228659345937,0.19872419581961828
21:00,0.2508764699558277,0.3449839917445603,0.4267974129939972,0.18910714693768388
21:30,0.2523549327549356,0.3484995522331606,0.4234131461461077,0.18642047384263227
22:00,0.20826482410457528,0.29601267920027236,0.35728389120054255,0.15981310421399225
22:30,0.17823541620982744,0.2532984513832817,0.318233963106102,0.13169092659911077
23:00,0.15381017169637232,0.22522754635656786,0.28025763929666436,0.11532186669317875
23:30,0.14398435465147608,0.20099196058675758,0.26341149389394225,0.10327233604494203
