date,ES,NQ,YM,RTY
2013-01-02,1.0063870188158122,1.0079036853230403,1.0062617880045266,
2013-01-03,1.005005093626913,1.0033068428286362,1.0062617880045266,
2013-01-04,1.0079376522591923,0.9995377773571341,1.008753282527647,
2013-01-07,1.0088035780772844,1.0025798087739732,1.0076178957760964,
2013-01-08,1.0075889882859976,1.0009197557376444,1.0058740875290797,
2013-01-09,1.0081083640531552,1.003038201894078,1.0081433176859358,
2013-01-10,1.0105192825869345,1.0023061240165894,1.0105555044786643,
2013-01-11,1.0110359960431747,1.004228179409188,1.0127425275853716,
2013-01-14,1.011553502951233,1.004964282161183,1.0144780970760552,
2013-01-15,1.0164059096811688,1.0047793931386164,1.0205405642282241,
2013-01-16,1.0183151420934797,1.0069943931786023,1.022517766513614,
2013-01-17,1.0198700854729914,1.0077295597368636,1.025776123113591,
2013-01-18,1.0221153540777583,1.0092972210212272,1.0277441115434134,
2013-01-22,1.027296743165682,1.0099423160310108,1.0322079589065658,
2013-01-23,1.0288506373990418,1.0102173048627492,1.034319430476509,
2013-01-24,1.0307527142076787,1.0098456965107674,1.0370312139953461,
2013-01-25,1.0328207684746058,1.0116046869979056,1.0389837675157951,
2013-01-28,1.0310982521829537,1.0135484786007014,1.0371838822537496,
2013-01-29,1.037309687437068,1.0152165660666257,1.0428888815337152,
2013-01-30,1.0335131788488772,1.0115157857291914,1.0395864626213378,
2013-01-31,1.0329947806652044,1.0100345251972798,1.0378584515900238,
2013-02-01,1.0367754968812475,1.0144479669095665,1.0409188799930151,
2013-02-04,1.0315881611730358,1.0027004615026625,1.038739967944524,
2013-02-05,1.0364030417386043,1.013569343962456,1.0404592410636033,
2013-02-06,1.040890382135807,1.0139392260330562,1.0455624745021725,
2013-02-07,1.0393373295099413,1.0134774630191055,1.0432354993632846,
2013-02-08,1.0433003199904998,1.0188067189443195,1.0454856298529602,
2013-02-11,1.0433003199904998,1.0182557644320467,1.0447352633634368,
2013-02-12,1.0448510553959356,1.0150386718381559,1.04796068096285,
2013-02-13,1.0436475080225982,1.0155883317687542,1.0454139964404616,
2013-02-14,1.0479593883234681,1.0200071352427298,1.048796969965546,
2013-02-15,1.0460637209543582,1.016878278999654,1.0484212456086048,
