time,avg_return,cum_return,avg_volume,cum_volume
09:30,0.00011050339450817414,0.39395765769850644,38046.04908363177,180604595
10:00,-7.289554041173086e-06,-0.041101420941980216,27110.83336844323,128695126
10:30,-9.072580796632715e-05,-0.26700764287498435,21815.324415420266,103557345
11:00,9.474478169563995e-05,0.34534313430260344,18460.619127870235,87632559
11:30,5.572864637469173e-05,0.18792482909103447,15825.13987781757,75121939
12:00,-1.5488367630729056e-05,-0.05739718951157058,13562.692437328838,64382101
12:30,3.1217730012213497e-05,0.09874627260770241,12006.841373499052,56996476
13:00,-2.5965753029528977e-05,-0.0890940671353404,11807.440910048452,56049922
13:30,2.1946762888517915e-05,0.06481536157180323,11337.917210870024,53821093
14:00,1.6271932227042045e-05,0.044186059444085046,13138.30798398989,62367548
14:30,0.00011396849260989606,0.43143066093849947,12750.851906467242,60528294
15:00,-2.5704608326101616e-05,-0.08808876224807116,13743.034969454393,65238187
15:30,-2.847247978113934e-05,-0.10377580491938998,22621.29028860333,107383265
