date,GC,HG,NG,ZC,ZS
2013-01-03,0.9984582542694498,1.0013390465988217,0.9947449768160742,0.9956490210297316,0.9899407221124484
2013-01-04,0.9886147223367663,0.9961865911119219,1.0100104023920178,0.996011075219197,0.9901191219542419
2013-01-07,0.9874216077792757,0.9886458437339457,1.023231238709478,1.005897949862917,0.9970075376690463
2013-01-08,0.988919971372264,0.9847556497762409,1.0135160263358198,1.0095650951413089,0.995750730040074
2013-01-09,0.9923175024655204,0.9831498517333934,0.996241969487828,1.0154346596479444,0.9975458458324664
2013-01-10,0.9942930380338942,0.9909112089404897,0.998790717730841,1.019452566574609,0.9955669451464146
2013-01-11,0.9922139212737565,0.9875703080337449,1.0185098701022115,1.0179925557381255,0.9905087207834861
2013-01-14,0.9957362209942832,0.9944528012982599,1.0307515752717091,1.0348514881270234,1.0032906399357266
2013-01-15,1.0032615787105308,0.9892662508660153,1.0313618485548777,1.0359235027901386,1.011068086756934
2013-01-16,1.0052930773512405,0.9884493505762829,1.0265676040525888,1.038755829523673,1.0171448615403413
2013-01-17,1.0056521533402931,0.9877659646867806,1.0178957542076936,1.030255952296067,1.0114901298570038
2013-01-18,1.0081545166580426,0.9924869545494103,1.033367069083807,1.034520550925785,1.015906345932174
2013-01-22,1.012642916797503,0.9964012917834554,1.0481253218206523,1.041988729533362,1.029060688819135
2013-01-23,1.011805032587387,0.9941144250411414,1.0413556272399518,1.0391251397579355,1.0299470460015803
2013-01-24,1.0095237586323424,0.9912794979735338,1.042819027503077,1.0329999222212207,1.0199197451364743
2013-01-25,1.0100685310167823,0.9958612683556842,1.0397954994106855,1.0294292346228067,1.0176122344008713
2013-01-28,1.0096421875702604,0.9958612683556842,1.0080231376529647,1.0294292346228067,1.0214969245200487
2013-01-29,1.014035384977951,1.0023879396938973,0.9933387338267605,1.0308403781932285,1.0220261975379348
2013-01-30,1.016352921241365,1.007552786027235,1.0030982792619636,1.0375524985447264,1.0350478811842514
2013-01-31,1.0165347158254172,1.0140045648064917,1.007002554001606,1.0337006330421978,1.0290963121059045
2013-02-01,1.0170233169865925,1.0148189172879316,1.0157643524012598,1.0354426293904322,1.035916151727337
2013-02-04,1.0167184173232675,1.0150875300241118,1.0120729010902922,1.0382572882538788,1.0455664546313008
2013-02-05,1.0163542196812412,1.0138747611710364,1.0218278206188733,1.031184690922449,1.0466202760201448
2013-02-06,1.0153823294400925,1.012531168855676,1.028098534889182,1.0227033912027303,1.0382221193419492
2013-02-07,1.0153823294400925,1.0086176137581395,1.0310924153052832,1.0166749731547253,1.0359537348795214
2013-02-08,1.0164755751590735,1.0098344446594563,1.0310924153052832,1.017390185939217,1.0373463797928193
2013-02-11,1.0164755751590735,1.0109093083578697,1.019716587247977,1.0148825340724652,1.0259312889560346
2013-02-12,1.0119778956229715,1.0086034639674117,1.0259135886897757,1.0145209799099884,1.0286160358740983
2013-02-13,1.009588409764202,1.0117031272051522,1.0331783708756948,1.0079639322839993,1.019210719562255
2013-02-14,1.010387377885401,1.0107567257765226,1.0309867803920192,1.0065131025865772,1.0177789924759515
2013-02-15,1.0085332292839475,1.0125119805768292,1.0254613153016459,1.016288589554145,1.02101003689651
2013-02-19,1.0117946551497914,0.9943661192156824,1.0390607391231388,1.0210222877498467,1.033184100110426
2013-02-20,1.011857714960022,0.9939579787918699,1.0498545262084389,1.0232251405821011,1.041262711126078
2013-02-21,1.0125696527152068,0.9876059272463814,1.0508188751302472,1.01847953700466,1.0409462962213327
2013-02-22,1.0166178750861332,0.9934300565561749,1.056218856047465,1.0236548786372548,1.0529824037103739
2013-02-25,1.024340489823763,0.9937106072640415,1.0967695499809011,1.0206639220890086,1.05736298573309
2013-02-26,1.0257546144959595,0.9945778492281288,1.0974015116922125,1.0243876138879469,1.0529465722876332
2013-02-27,1.0243562626853937,0.9933302951315359,1.0958106135888603,1.0291813644208998,1.0577260085445253
2013-02-28,1.0246769954371895,0.9973574975024033,1.0954895439687053,1.032143037412039,1.061587664695331
2013-03-01,1.0227964972174908,0.9873881349340982,1.0942346876754994,1.0255525533136294,1.052628347511371
2013-03-04,1.0220172236958014,0.9831715307991481,1.086000215351458,1.0277238007800662,1.0509893068318548
2013-03-05,1.0266311502477443,0.9887585262860022,1.097674333649437,1.029549891399789,1.0535032057376543
2013-03-06,1.026957023517884,0.988618057678773,1.0886540571756955,1.0237434767849152,1.0547605838178187
2013-03-07,1.027735758701594,0.987489981161667,1.0842744144169427,1.0229994771651587,1.0576375305176287
2013-03-08,1.0282569228794345,0.9891739203081699,1.0797414946242299,1.0259582609024405,1.0581757684466453
2013-03-11,1.0308643957408,0.9865000969355913,1.0764704518148478,1.0270520330355986,1.063564543366591
2013-03-12,1.0318427548636162,0.9824352343594145,1.0800163330725414,1.0324766036326174,1.0569183876319914
2013-03-13,1.0318427548636162,0.981190069296855,1.0856677542590956,1.0299486791046606,1.0527813687559642
2013-03-14,1.031777736416555,0.982441232604261,1.0909752011837732,1.0284995779029658,1.0487797809687094
2013-03-15,1.0342462596164435,0.987304803062698,1.0997963360916234,1.0256306808934734,1.0506031116032168
2013-03-18,1.0417238353649592,0.9651244875666214,1.123512391143742,1.017771441959424,1.0390074570778134
2013-03-19,1.0411393634169333,0.9661142138210845,1.1272835404039714,1.0174181717608959,1.0419570878998938
2013-03-20,1.0412039662565593,0.9754981046396558,1.1193128487041453,1.019514500411502,1.0499251040442465
2013-03-21,1.042566204328417,0.9797480237711095,1.1255548975435599,1.0132512713987352,1.0554646315013916
2013-03-22,1.0413385155845534,0.9806028279215567,1.1369664912393884,1.0039332249655724,1.055282151447536
2013-03-25,1.0411441272112878,0.981026964092803,1.1406980146895556,1.0001304475982786,1.0516167045859606
2013-03-26,1.040364584594046,0.9813112373365275,1.1506630024848907,0.9967170331013562,1.0516167045859606
2013-03-27,1.036270059803097,0.9787538893892194,1.1532519942404817,0.997400183912255,1.0545237307216508
2013-03-28,1.036140969792533,0.9728031564195687,1.1360476969431794,0.9951139207088604,1.0541607901844896
2013-04-01,1.036595360645092,0.9559320846298115,1.1238898943128763,0.9519101946931546,1.0417787627503952
2013-04-02,1.037567533360465,0.956215491710935,1.1202698327107785,0.9592864844621835,1.048324948871807
2013-04-03,1.0323635567789478,0.9496932626749471,1.1222501076675906,0.9645305339672481,1.044188803090749
2013-04-04,1.0276574371942733,0.9491228763309982,1.1228247364989616,0.958520997930069,1.0419212921176964
2013-04-05,1.0253418503596758,0.9446052603794004,1.1196947131584931,0.9642264800606051,1.031672885965719
2013-04-08,1.0252769265421389,0.9540753415473516,1.1210460222499226,0.9703607240689429,1.0430349221547688
2013-04-09,1.027037562363333,0.9622793993397529,1.121595016384227,0.9753408620132368,1.0424669234678083
2013-04-10,1.0280747121359795,0.9578043316491742,1.128267867250172,0.9779922740653115,1.0415334824546745
2013-04-11,1.0273487638863006,0.9540213127851415,1.1346064507740492,0.9877872660243632,1.0385421818409113
2013-04-12,1.026426961496093,0.9530471115904667,1.13760085359519,0.9942384314190669,1.044841991686155
2013-04-15,0.9991449044480508,0.9434823787449662,1.139741212680035,0.9761408035434069,1.0392980829930911
2013-04-16,1.0240121810446405,0.9446348995924176,1.1419446756335008,0.9795419910121993,1.0458088101999565
2013-04-17,1.0375008157016499,0.930053670815416,1.151215477680191,0.9769574475002936,1.044812273723402
2013-04-18,1.0390095786125808,0.9114730799402299,1.1523097889707616,0.9803920635266618,1.0544724307139555
2013-04-19,1.0623547455812632,0.9039249434969747,1.1444851412412183,0.9815591969356221,1.0540933967704924
2013-04-22,1.0797169520284593,0.8859842293119761,1.1268257381088376,0.9656650709188921,1.0481811667542296
2013-04-23,1.0709319926095564,0.8728260476885309,1.129469627686756,0.9583083602743615,1.0493338586531529
2013-04-24,1.0807028552622642,0.8952895215607348,1.1324074772740236,0.9618200765782986,1.0524258184576558
2013-04-25,1.0909038680898693,0.9044741520691703,1.1331872024366234,0.9696017924082202,1.0624023457329979
2013-04-26,1.0924681549611488,0.9021049593749983,1.1334571374538782,0.9599057744841379,1.0591149704367726
2013-04-29,1.1035546392545013,0.9033797836540797,1.141465548693543,0.9781122197628926,1.0600725789091385
2013-04-30,1.0947196133075556,0.90534365274898,1.1362498048110043,0.978482857208805,1.0632701008824272
2013-05-01,1.093086811172453,0.8988150733436728,1.1469814892148864,0.969056240087333,1.053370361357649
2013-05-02,1.0924111393798328,0.908647009656167,1.1530810439552195,0.9799234601037803,1.0591275322158618
2013-05-03,1.099860751623285,0.9322045247213269,1.1465455920057444,0.9806633041657687,1.059320241009933
2013-05-06,1.1023315075663465,0.9310774828295678,1.137778223147289,0.9558316936672401,1.0577927424648574
2013-05-07,1.0942299898516705,0.9259927150228529,1.1225401219444235,0.9562069711284364,1.063203447029895
2013-05-08,1.0967950629111685,0.9327221094696503,1.1273934235906735,0.9550859781962812,1.0680099725589631
2013-05-09,1.0938907305202439,0.9248106272911131,1.1222882458234704,0.9550859781962812,1.068585615734974
2013-05-10,1.0941911261622925,0.9310565342741689,1.1220061220814332,0.9513983875468747,1.069532943408498
2013-05-13,1.0834385213238813,0.925685054268741,1.1254469790875608,0.9562562740504527,1.0706801006592044
2013-05-14,1.0898081206933665,0.9168598131733738,1.133758148528238,0.9504276643800501,1.0752072892455014
2013-05-15,1.0813131276177372,0.9096174145276172,1.139114042317904,0.9427834740499157,1.070082735528003
2013-05-16,1.0765776763445172,0.9108695645323204,1.1365932588458458,0.9402471618599274,1.0725422609102278
2013-05-17,1.0683351892594672,0.9222294587211646,1.1420798624835669,0.9387831725070898,1.0777952228317749
2013-05-20,1.0596725863685235,0.9177769326681957,1.16516924826356,0.9395017206682126,1.0790971325056011
2013-05-21,1.0576183675408417,0.9199660249345478,1.1788302458006024,0.9210659423865355,1.07872883996891
2013-05-22,1.0669342168873108,0.928509747754491,1.1751719041449789,0.9207054469100633,1.0770874943121522
2013-05-23,1.0792059144734873,0.9076985599986757,1.1732043836166328,0.9158117960912551,1.0779883704365352
2013-05-24,1.0783519280653722,0.9085193876339418,1.1690694997458035,0.9113174384660431,1.0779883704365352
2013-05-28,1.0821711723353544,0.9119664941282276,1.1676652761094646,0.9330053476409232,1.0841962980440627
2013-05-29,1.0866406859085096,0.9028853552307529,1.1698820113275175,0.9385060594410738,1.0824000815131745
2013-05-30,1.0974851459118704,0.9011055963804118,1.1721258511958033,0.9359158324857324,1.0760986838330413
2013-05-31,1.0977958281895526,0.9009697854389828,1.1732875220096741,0.9336086166659886,1.0854713406494472
2013-06-03,1.1011970257262735,0.9173711017105506,1.1738762262354692,0.9388792712576295,1.1061013392526906
2013-06-04,1.0969046205941018,0.9172334822833512,1.1832813437215821,0.9302919608497854,1.0908807176192417
