date,GC,HG,NG,ZC,ZS
2013-01-02,1.0019011406844105,1.0109652091512116,0.975867269984917,0.976283185840708,0.9752978276103713
2013-01-03,0.9898221567457637,0.9983923602008156,0.9682859518526538,0.9777053026445546,0.9820227990219471
2013-01-04,0.9958917358746158,1.0053228094141329,0.9811287328303415,0.9666879037416171,0.9664519870734911
2013-01-07,0.9912588417432512,1.0091567836260091,0.9625556828999593,0.9652802766520769,0.9757650698580175
2013-01-08,0.996725784446199,1.0116312179136089,0.9604722290408685,0.9649296481462099,0.9759410101879594
2013-01-09,0.9924151010920347,1.0116312179136089,0.946846361983227,0.9691128691641846,0.9738335255519587
2013-01-10,1.0001230635245033,1.012997364055288,0.9637597260250327,0.9698073248210561,0.9697861509426896
2013-01-11,0.9951532847858015,1.003127836286414,0.985676818749634,0.9868458902266609,0.973146708460091
2013-01-14,0.9947356294711244,0.9918292054800939,0.988603412629532,0.9906085608653068,0.9911323734468825
2013-01-15,0.9943211069442583,0.9942923574804585,1.0067375580682985,0.9998346495660184,0.9802160553477297
2013-01-16,0.9927254653461903,0.9904576211155199,1.0087945233066167,0.999493874293501,0.9914116349642474
2013-01-17,0.9971562205176355,1.003614384866328,1.0333920395917073,0.9960580067297558,0.9917580401476732
2013-01-18,0.9927364630246492,1.0029323962927574,1.0424415179045163,0.9953736659487666,0.9855498521029303
2013-01-22,0.9926777941242872,1.0063289432864337,1.0248852140414086,0.9889190244289623,0.9882737763789101
2013-01-23,0.9896244849266969,1.002788408438606,1.0306787991970978,0.9824465954023862,0.9784080484907902
2013-01-24,0.9815031612516325,1.0045637385910915,1.0011729789562605,0.9913561215553203,0.9869966022872332
2013-01-25,0.9754448628391607,0.9940967009900746,1.0029076130520553,0.9903245334995916,0.992161419672305
2013-01-28,0.9736795647825054,0.9955919920759343,0.982628779365603,1.0033913155388223,0.9930189489892215
2013-01-29,0.9739139181286232,0.9959971434563233,0.9856550460097842,1.0020177476872978,0.9955902046831345
2013-01-30,0.9791682193294131,1.0071488718937813,1.0009388427098447,1.0108881805915777,1.0008372798863268
2013-01-31,0.9715216597626678,0.9974031312193056,0.9949684350587271,1.016024807525478,1.0018587161304702
2013-02-01,0.9730385684315261,1.0079414283125683,0.9772117110541096,1.0061107027414138,0.9984763436924875
2013-02-04,0.9775322990000638,1.0046074066523654,0.9861224561397095,1.0009966191964728,0.9974709974830304
2013-02-05,0.9768317264016405,1.0075448552098283,1.0067157055221019,1.0016831738049752,1.0013209442764703
2013-02-06,0.980747000729764,1.0031328355413138,1.004084151252657,0.9982219327068239,1.0040208322286819
2013-02-07,0.9769486002621816,1.001253806949184,0.9591860794486764,0.9898656974836068,1.0063884070393947
2013-02-08,0.9737963999506279,1.0075543731463474,0.9513143395869397,0.9881260389643034,0.9822377874376775
2013-02-11,0.9630555692594089,0.9980466165682783,0.970181435258946,0.9790574625389339,0.9788224961044449
2013-02-12,0.9684498531176657,1.0044890906935173,0.951721323382983,0.9717302327765255,0.9686033644242176
2013-02-13,0.9654524661466133,1.0012777228799241,0.9601590850393897,0.9759444585782305,0.9789167986505626
