,GC,HG,NG,ZC,ZS,ZW
00:00,0.6867516096031024,0.5080215974060107,0.20231110538694777,0.1371305019425656,0.1920846925321094,0.19353504437864685
00:30,0.9048037071167669,1.1712483232076278,0.23720545437780197,0.16356194314535177,0.37324363129660404,0.22625488415142786
01:00,0.9927905914418632,1.205841432074428,0.2582616071232727,0.17419558191874213,0.3832012198645529,0.2639385155680613
01:30,1.3714778446087983,2.3725516828343705,0.2388173105175718,0.218670367589313,0.7322954937903159,0.2950703820270193
02:00,1.9302700166138897,2.1612716290188834,0.42668771322844523,0.2615015689444044,0.6429349696712056,0.38931514384870314
02:30,1.8673558309823122,2.4974882772077374,0.38616569792681815,0.31853040596312077,0.6887170470777206,0.4612447219240548
03:00,2.439301368436763,2.6452501962164,0.4924730473616975,0.4782931588515199,0.6084420044999387,0.6886516081812453
03:30,2.0550071439094766,2.046112070080155,0.43329498613507367,0.4922020560655358,0.5640566413940029,0.7363390479668739
04:00,2.0043707738961096,2.4648404450486936,0.4000138124143856,0.5016185259434434,0.5760122421420971,0.7352785094632898
04:30,1.7396773031861286,1.757585777673106,0.37620119924325873,0.5372320945941405,0.5867006251100205,0.9606200266137612
05:00,1.6930887651270845,1.6707232728867316,0.4209727090988149,0.5189756786926534,0.5709459754032287,0.8497572828580867
05:30,1.7795485139801337,1.4662958440019618,0.4858293123674603,0.5514157738610286,0.5863389880923088,0.7918369052165123
06:00,1.5683347692178238,1.5036588800094473,0.658201158299547,0.5468041014831077,0.6350669718471447,0.7808771466940808
06:30,1.6186646954350075,1.5051819653307459,0.7626557310699205,0.5548629924828156,0.621570693228326,0.7140309465159503
07:00,1.945155463577853,1.8260275814246965,1.2283592668760308,0.6780260116038661,0.7999116908692113,0.8165591357017659
07:30,2.18365244767889,2.8269160504843525,1.8361699239732805,0.9252831980855114,1.0438946439338532,1.033415053845471
08:00,4.40758557846565,5.54869418065338,3.67843612927181,1.4607170256034494,1.7681237433741788,1.5058033028278013
08:30,6.876268236520289,5.000148649297477,4.659602523677442,1.1154735959809916,1.2653604838823127,1.1012959729653211
09:00,5.601164351422189,6.538605284335032,8.472125003119155,0.04573539887376044,0.05217209267763119,0.049415413963409933
09:30,7.131815614748714,6.476345888160075,7.228537267355019,16.012716489216597,16.75714174890674,16.858016027632264
10:00,7.325509723320731,6.008602150729132,6.311571534153683,9.084869895666882,9.138978557846663,9.38864399237833
10:30,5.443188116525115,5.3429259434657,8.551232500495958,9.112412992849631,8.908630965023647,9.503626104588236
11:00,4.662423975195796,4.799315294328226,6.1792319061101955,7.255495067592091,6.922692608302339,7.372611545930889
11:30,3.614417232892881,4.369198358472554,5.4999772185857,6.719817929500891,6.342984489094677,6.548865465019331
12:00,2.995793230607156,3.139546334137761,5.209678192089636,8.362685297203408,7.7124582735240965,7.347169146566211
12:30,2.611316724856278,5.0748087799205015,4.791359616206703,6.152417406932895,5.622532863054773,5.435775981288329
13:00,3.5425140596879388,2.1340451842951227,4.741272469783828,5.490148668344965,5.118136898741145,4.769618666125062
13:30,2.120147584653286,1.2843286965447902,4.805398840021735,6.075994327020454,5.48495412946155,5.117174206411346
14:00,2.122454333724662,0.9519969477479802,11.697327276332201,12.04169001089074,9.089080323977758,11.255760975730135
14:30,1.628099399853915,0.7150845375331261,3.6141953745300976,0.34129512259670686,0.2776066384572951,0.4283800967623922
15:00,1.36915439207923,0.6002146327624915,1.5215488605365641,5.184567035324174e-07,7.441090899417542e-07,3.227445233061847e-06
15:30,1.3968903625004645,0.6657094460138432,1.3362742656919473,,,
16:00,0.6159791083358017,0.36460979210013567,0.6722229885946703,,,
16:30,0.5004360930610581,0.3863640181359175,0.6001548550886701,,,
18:00,0.4479218453701562,0.32346938896922406,0.21618773854538637,0.02620487562334251,0.01942310752020464,0.02309947102207025
18:30,0.34544698295565734,0.19355838811224407,0.10987708071351138,0.004668961843661185,0.005431624302029835,0.006501365677479784
19:00,0.4770578105204551,0.23466783530443946,0.11838754761799987,0.0041126578007709014,0.006142620537469182,0.005157457482432831
19:30,0.5304919951068884,0.30896619692321464,0.1126099130629951,0.0033362688872311057,0.005893343992338693,0.0040201057823018365
20:00,1.023111710936865,1.392350942829434,0.18097731087121693,1.8661683137504235,2.007169532627057,1.4827935547832103
20:30,0.88860259576083,0.988899240761134,0.13184471235318965,0.41038829210636146,0.6363189353909716,0.39913169708229235
21:00,1.3399487142716704,2.1931398093500087,0.12453583066926069,0.3641764315220548,0.9914985744201495,0.3511124759267051
21:30,1.1433022944458289,1.6293744006671722,0.11331995409639571,0.2830498819234127,0.7144797821439085,0.2841132948445276
22:00,0.9265077388117953,1.2220956833427483,0.11170938759953768,0.2366039381374611,0.5148133620943826,0.25575567004875294
22:30,0.8221725225545278,1.0921315965238299,0.10789439138270335,0.19557508921836794,0.47398074783837374,0.22486450074502484
23:00,0.7410898301690444,0.9675699447203858,0.11059183962753256,0.15854717068043445,0.3855020844443045,0.19327813973809516
23:30,0.568936995833132,0.424217428957558,0.1482974364149229,0.11739441060919706,0.17307419350227748,0.1512877862778673
