,GC,HG,NG,ZC,ZS,ZW
00:00,0.0009348244820263159,0.0071707552052003515,0.0017526854555762908,0.011009676045877553,0.02496083833281392,0.02460661550939409
00:30,0.004298411209900519,0.0025891678881942914,-0.006639872863545993,0.0011725430778616432,0.004840492762433575,-0.0002980032629552074
01:00,0.0009759616645314437,-0.0018690110504469123,0.001338984699948269,-0.0015628752427794515,-0.001703882408930465,-0.0037663270151536985
01:30,0.0020788743803659433,-0.001110121941637324,-0.0029181809315562534,-0.0006648299749021647,0.005102893891475137,-0.001573551208581974
02:00,-0.002352573745908043,0.0016305642420028328,-0.01945908258268752,0.004149500952814889,0.0030902683612385106,0.0038680581348756247
02:30,-0.0027711492904513454,-0.012355077582152561,-0.001714616830733071,0.0019820680582413276,-0.002347903305121983,-0.0022634771982784313
03:00,-0.0010597987291327095,-0.006259495992703593,0.011158631853688596,-0.0034210380242968514,-0.007509076037275418,-0.0031569107898576382
03:30,-0.0021688945903403176,0.004026458018442057,0.0004522463215164162,0.00029793254614871224,-0.00040208111623807243,0.00179665038202612
04:00,-0.003635864982820266,-0.004944511562032395,0.0029687114249416727,-0.0038184204871253126,-0.002262212574772761,-0.01044315771048777
04:30,0.001301675475815519,-0.0032747624762177454,0.004964572513091999,0.0011494675541701396,0.001445349767165585,0.0006124383940751436
05:00,-0.006314715578755159,-0.0008144165278926277,-0.002440580088239348,-0.003827005773362975,-0.001962111517215862,-0.006029203037983448
05:30,0.0045803222385042515,-0.003277649381424951,0.01282946365311602,0.004906652697925933,0.00040165909302654633,-2.034062284304141e-05
06:00,0.0033125394933511106,-0.0034224084373727015,-0.001080163588306407,-0.005164597191432302,-0.003722795746737968,-0.0044948041714115245
06:30,-0.003036659264415637,-0.009809074632015188,0.0026925592811435353,0.000840619412538637,0.0035604262349609754,-2.9873283343076273e-05
07:00,0.003017707289434582,-0.010319098485689864,0.0034311596073190015,-0.0018975104549346846,-0.0017327859572364335,-3.2919636699864565e-05
07:30,-0.002677973023940153,0.015363505691871405,-0.007183277545621609,-0.014923766879790353,-0.008474297435805014,-0.006947922522334995
08:00,0.0039233026807772835,0.011466325528819704,-0.016904103844975392,-0.013909123197150406,-0.00745968932485415,-0.003986041471262422
