time,avg_return,cum_return,avg_volume,cum_volume
09:30,-4.9601626069671124e-05,-0.12931198528358112,15721.247981917984,48688705
10:00,-7.32771467486253e-05,-0.1615483932973817,9830.69163706813,30445652
10:30,-8.570405055311801e-05,-0.1789362241451954,7655.06393283823,23707733
11:00,3.311897809043452e-05,0.05896233433622555,6400.2838230545685,19821679
11:30,0.0001029336168300733,0.23406275859805392,5510.793994187924,17066929
12:00,-1.2240225723698589e-05,-0.03363591356544793,4666.679690022603,14452707
12:30,8.179721223754886e-06,0.0094834310570735,4239.262512108492,13128996
13:00,-6.029276866744242e-05,-0.12821352785649764,4101.721666128511,12703032
13:30,6.06217970720744e-05,0.1284628504702805,3899.147562156926,12075660
14:00,-1.2032621058551013e-05,-0.034197261268814394,4494.627381336778,13919861
14:30,9.03074526756352e-05,0.19908358339533327,4579.515983209558,14182761
15:00,-7.788934032635828e-05,-0.15845861185372445,5092.129803035195,15770326
15:30,-0.0001607655270194427,-0.29850213873169396,14506.803035195351,44927569
