date,ES,NQ,YM,RTY,6E
2013-01-02,1.0062133241284088,1.005685465382852,1.0058823529411764,,0.9959242206959015
2013-01-03,1.005176703258771,1.0021042260521424,1.0058068532524471,,0.9922021333788318
2013-01-04,1.0084559541794298,0.9989804024814288,1.0082972213614905,,0.9953198746011288
2013-01-07,1.0093223252740857,1.0027605775161994,1.0076159905986157,,0.999203381112081
2013-01-08,1.0072408906799477,1.000180180845815,1.0051914690782642,,0.9985167482625729
2013-01-09,1.0072408906799477,1.0018361082975464,1.0066264858272675,,1.000276855958008
2013-01-10,1.0091325843452166,1.0003747738338067,1.0084318240173629,,1.0049003982944056
2013-01-11,1.0098207074848997,1.0024762095629305,1.0107651115636038,,1.003772057402541
2013-01-14,1.0099929436621955,1.0029353449524894,1.0118187758645636,,1.0057246291137836
2013-01-15,1.0146640312741995,1.0030276282930262,1.017409352241326,,1.0040661371086488
2013-01-16,1.0163964267518744,1.0053311089753085,1.019532430335137,,1.0039150702107162
2013-01-17,1.0181211788760078,1.0054227944389633,1.0228570747385124,,1.006096022869051
2013-01-18,1.0207083070622083,1.0082785857737266,1.025424790372085,,1.0056432343799109
2013-01-22,1.0255359814875025,1.0090151603957878,1.0296511676636753,,1.0058697136009258
2013-01-23,1.0270872123838701,1.0089236148359624,1.031455990043454,,1.0051153490339535
2013-01-24,1.0289860290790336,1.0089236148359624,1.0338590910031475,,1.0069973055742358
2013-01-25,1.031740550823264,1.0117940840044568,1.036331004494171,,1.0072217144226032
2013-01-28,1.0307074327817187,1.0136454912944923,1.0346850846198659,,1.0065486378388637
2013-01-29,1.0370900562148442,1.0162429172811533,1.039999991363319,,1.0081174014869723
2013-01-30,1.0331224794861447,1.0125383955741227,1.0368559620221214,,1.0088609605675791
2013-01-31,1.0329496876347504,1.0110556375355737,1.035057686036536,,1.0095299172201326
2013-02-01,1.036902739683935,1.0156584584293895,1.0389317952767216,,1.0119004013227924
2013-02-04,1.031542728856821,1.0037138927317515,1.0364577911459574,,1.0083941112267905
2013-02-05,1.0363573973695717,1.0154332698005144,1.038173286914262,,1.013018745807459
2013-02-06,1.0408445401391984,1.0154332698005144,1.0427388244026745,,1.013618253868301
2013-02-07,1.039463880825467,1.0158035280575062,1.0407169968795957,,1.0103013415397122
2013-02-08,1.042908665848915,1.0204973742050945,1.0422872696870733,,1.008340470019853
2013-02-11,1.0432533151105967,1.0199455054132756,1.041613957497353,,1.0100736611722674
2013-02-12,1.0448039806491591,1.017090321137692,1.0445297588426299,,1.0121801755855568
2013-02-13,1.0441159306125116,1.0187444253824045,1.0424384586461628,,1.0100021519087754
2013-02-14,1.0489498006616436,1.022898797755962,1.0457366029030428,,1.0118196559685946
2013-02-15,1.047052341722772,1.0193012638834322,1.0450624657046954,,1.0121983026477237
2013-02-19,1.0525622372884895,1.023624234412445,1.0479055623324716,,1.0137879051272034
2013-02-20,1.0399845579101854,1.0081691367777466,1.0397532743948341,,1.0055327966811505
2013-02-21,1.0372181816962929,1.0008742694205894,1.038703548726591,,1.0039340543484503
2013-02-22,1.041516997104517,1.0047294344348654,1.0428052643483574,,1.0045433762841751
2013-02-25,1.0163769316571667,0.983435467615034,1.0225270510021718,,0.9867130335643296
2013-02-26,1.0177377710635696,0.9847968123930171,1.025333553561802,,0.9845275391800504
2013-02-27,1.0313529920811424,0.9950532215912116,1.038853948453127,,0.9887413531661466
2013-02-28,1.029140518665787,0.993057854635145,1.0371535754945145,,0.9845936318310738
2013-03-01,1.036141474575078,1.0006175906651107,1.0435287600769265,,0.986335605179698
2013-03-04,1.044192168789829,1.0085698817391826,1.0489556746231696,,0.9877013006330236
2013-03-05,1.0479384551096882,1.016466352195564,1.05317280492741,,0.9874741906535726
2013-03-06,1.045901975520811,1.011126057023744,1.0525095050502689,,0.985199428638706
2013-03-07,1.0467495460034046,1.0131157505169928,1.0539082376931979,,0.9871577761268258
2013-03-08,1.0459032090483567,1.009689101783602,1.0529525452343522,,0.9886027682490454
2013-03-11,1.0499675997570939,1.014023694117527,1.0567025857236645,,0.9914927524934843
2013-03-12,1.0486117093942113,1.014023694117527,1.0575114742722354,,0.9886859252676038
2013-03-13,1.049967818944026,1.0128448076908119,1.05765851424363,,0.9870099281682135
2013-03-14,1.052673050039534,1.012393007883652,1.0614004902565628,,0.9923508909829765
2013-03-15,1.0535202036288143,1.0089596357908739,1.0615475393685407,,0.9909100636156621
2013-03-18,1.058313600720398,1.017084627429074,1.0648801498939757,,0.991139866506111
2013-03-19,1.05319190237847,1.0121707355187965,1.0628855772927177,,0.9867786674640507
2013-03-20,1.0535312038934113,1.0102757916437948,1.061268350465106,,0.9848014598997732
2013-03-21,1.0509707748496004,1.008454162015876,1.0600866194046674,,0.9844200200284042
2013-03-22,1.0553937661325545,1.013714084803369,1.063252595556522,,0.9874599953855522
2013-03-25,1.0484414614392006,1.006033748123782,1.056492921809635,,0.9805216230915141
2013-03-26,1.0516482205775368,1.0070228767642326,1.0596392058762476,,0.980293045512116
2013-03-27,1.0579322942470084,1.016263280995067,1.0639089761931033,,0.9807534931614875
2013-03-28,1.0604786653018392,1.0187996364516907,1.0655264177988146,,0.9811360321634226
2013-04-01,1.0567445854944384,1.0111027233685521,1.0657469780177753,,0.9833547583746469
2013-04-02,1.0584364596306768,1.0143480602124597,1.068898991227402,,0.9835081678533324
2013-04-03,1.047277225391759,1.004709051114526,1.0609128379582413,,0.984350540340009
2013-04-04,1.0506566291523005,1.0054301772951215,1.0642078257219323,,0.9956578412253713
2013-04-05,1.0593850031687149,1.0141411546633876,1.073094120279488,,0.9967300056571193
2013-04-08,1.0658853471248606,1.0190908674572978,1.0772416301653083,,0.9954291911249398
2013-04-09,1.0669090884539385,1.0224710881740995,1.0799031289427397,,0.9967239345257907
2013-04-10,1.0769469829235259,1.0390433330799402,1.085724510531718,,0.9954294878575753
2013-04-11,1.0801779939255072,1.0412338671623296,1.0899227533307347,,0.996189531751488
2013-04-12,1.080519120719736,1.0418735579706615,1.0925803812852122,,0.9978643116459199
2013-04-15,1.0614753572392832,1.0258009316796826,1.0776754907844435,,0.9935208014692252
2013-04-16,1.0689661215886863,1.0332838670411035,1.0805439963905445,,0.9976059399204044
2013-04-17,1.0610720067077937,1.0230524210784306,1.0765474638011547,,0.9889555195088333
2013-04-18,1.0525108318916907,1.0062222706777335,1.0701913549252178,,0.9885012450396056
2013-04-19,1.058660870837982,1.0174137299741766,1.0730072579502252,,0.9848074632195077
2013-04-22,1.0613876213101985,1.0248194194177342,1.0730072579502252,,0.9881350264495535
2013-04-23,1.066810646039869,1.0282727437005998,1.07646027685633,,0.988591123853869
2013-04-24,1.0674887395698482,1.0316468206354101,1.0723519298581732,,0.9907978004696142
2013-04-25,1.068840846903059,1.0341927496833383,1.0729379145192977,,0.9888213739840986
2013-04-26,1.068333084030421,1.0333723958364187,1.0751385118691015,,0.9904925785802151
2013-04-29,1.072044331124795,1.0390936772264965,1.0798216170729145,,0.9917035422279026
2013-04-30,1.074744269625975,1.0458080443339677,1.0817983737113963,,0.9963931631277676
2013-05-01,1.0679774239176423,1.0411801735954835,1.075701458859896,,0.9939813188599849
2013-05-02,1.07523568679554,1.0524136497571333,1.0820773974701163,,0.9940573810974243
2013-05-03,1.076908944944926,1.0550161905470161,1.082876353797957,,0.9969446531666515
2013-05-06,1.0792504149292759,1.0577953800360504,1.0833850535145253,,0.9945869110055158
2013-05-07,1.0824217353566894,1.054752909608741,1.0867926087253386,,0.9911013862526398
2013-05-08,1.0882681490507455,1.0601215195999627,1.091868706851099,,0.9903487843950556
2013-05-09,1.0855946820793327,1.0608386052646959,1.0910711931873964,,0.9848334150587083
2013-05-10,1.0887679588423338,1.0657610825522652,1.0920856039128994,,0.9831680549410072
2013-05-13,1.091613317074512,1.0693488996960197,1.0928842836312056,,0.9827135158494951
2013-05-14,1.101473265896832,1.0731107435512197,1.1010823667466014,,0.98021335811123
2013-05-15,1.108501809981862,1.076698242902833,1.1071829484237148,,0.981585031938953
2013-05-16,1.1048151826470773,1.0745477137891788,1.1052210176232002,,0.9801389502450054
2013-05-17,1.1109882665730728,1.0780200280519825,1.1100017613093407,,0.9820525366375182
2013-05-20,1.1118233449454218,1.078823454704224,1.1100017613093407,,0.9852626079690441
2013-05-21,1.1124907058967695,1.079983479924336,1.1115212213828363,,0.9882487162773119
2013-05-22,1.1018289201559197,1.0700851918992678,1.1041548927114666,,0.9820611808349016
2013-05-23,1.1099046245638422,1.0775594888720557,1.1114999262465954,,0.984343098225115
2013-05-24,1.1160002106026368,1.0841747308775775,1.1160989342167476,,0.9842670166747809
2013-05-28,1.1109746917917573,1.0805850454843895,1.113566621063786,,0.9802281383932878
2013-05-29,1.1111433279016225,1.0816683387630703,1.1138579590508522,,0.9803038843277901
2013-05-30,1.113332275206172,1.085905579296648,1.1147314589533883,,0.9803038843277901
2013-05-31,1.1013318817737083,1.0802908560945472,1.104066269372314,,0.9807566457246008
2013-06-03,1.1053802758865232,1.0817386032842207,1.1093070902712332,,0.9878602922570489
2013-06-04,1.0991409059082162,1.0749590933614066,1.1047914944733987,,0.9892971249564965
2013-06-05,1.0876351205631178,1.0662417362941068,1.0925119727352888,,0.9909623534759335
2013-06-06,1.098133855963229,1.0695074077682083,1.098947547646642,,0.9989564181234561
2013-06-07,1.1062157978654423,1.080624572574723,1.1095780612593371,,0.9994856865859799
2013-06-10,1.1026901442373995,1.0798119371174058,1.1056570341467133,,1.0046388465441152
2013-06-11,1.1030294335125492,1.0820963831212926,1.1082227038540087,,1.0091099706254385
2013-06-12,1.0860156930139593,1.063466185881025,1.0911899214105383,,1.0114615010388333
2013-06-13,1.1028635939294722,1.0773778074986546,1.1052448903662397,,1.015948098178995
2013-06-14,1.0976134754694271,1.0717246741146906,1.0986529725310534,,1.0186178319004655
2013-06-17,1.0969417413963125,1.0714537400941004,1.0973455711357367,,1.0207529793247216
2013-06-18,1.1043217775769603,1.0781204832847977,1.1053908391936011,,1.0237318304317005
2013-06-19,1.0892216621132824,1.0647036327035369,1.0911029318829826,,1.0148703355932498
2013-06-20,1.0717656435668894,1.0495949984900996,1.0739881654222896,,1.014947103394732
2013-06-21,1.0690706490207524,1.0446831231180167,1.0736965783278969,,1.0120179631251947
2013-06-24,1.0670268625322628,1.04284809216225,1.0731081305217298,,1.0154212641323417
2013-06-25,1.0682085091131401,1.0399391714030806,1.072670007986133,,1.0148016798052073
2013-06-26,1.0695477456078752,1.0399391714030806,1.0755698998703886,,1.0123119417270223
2013-06-27,1.0697141603808031,1.0390435214406284,1.077154904746613,,1.0130108912840259
2013-06-28,1.0668758365589717,1.0422759416594205,1.072162046461814,,1.0095217607744367
2013-07-01,1.0663787675250105,1.0403177801977206,1.0712275438400236,,1.0116118679396011
