date,ES,NQ,YM,RTY,6E
2013-01-03,0.9989708404802744,0.9986322604176164,0.9988753936122358,,0.9936339522546419
2013-01-04,1.0000010613539219,0.9980832094176617,0.9993252699342351,,0.992568964095741
2013-01-07,0.9960647231011167,0.9945950127876726,0.9963335020428071,,0.991203982710324
2013-01-08,0.9950387336867635,0.9950522558056882,0.9953605201072184,,0.9893155434809566
2013-01-09,0.9977803592660625,0.9967942619662251,0.9985115822798651,,0.9862919629690955
2013-01-10,1.0036063136220725,1.004025368182509,1.0025571724241562,,0.9957994824652401
2013-01-11,1.0032642528471503,1.0036587013813834,1.0019588987124306,,1.0033855246834473
2013-01-14,1.002067855952784,0.9986276014382576,1.0020335102917524,,1.0050397873890107
2013-01-15,0.9976248538629525,0.9936902373586325,0.9982322823071585,,1.0012123509226993
2013-01-16,0.9962640697485614,0.9952444497089036,0.9946001903911379,,0.9992578857883807
2013-01-17,1.0006790801139036,1.0001700477553046,0.9980767788894559,,1.0036185025497775
2013-01-18,1.0006790801139036,0.9954273118002366,0.9985928856673406,,1.0001675793088378
2013-01-22,1.001017261621208,0.995973000596107,0.9992547899220914,,0.9997923100685149
2013-01-23,1.0013538511510067,1.0016985502847242,1.0028436988648592,,1.0005426795597103
2013-01-24,0.9998414858782497,0.9879741621989794,1.0042328815914876,,1.0026452910148045
2013-01-25,1.0025251738121623,0.9903373018693724,1.0067859542184725,,1.0090162897242503
2013-01-28,1.0023578911200528,0.9906091982641385,1.0080230601976352,,1.0092410984037283
2013-01-29,1.0005159370936043,0.9885284666148166,1.0074399665980993,,1.0103658934461577
2013-01-30,1.0005159370936043,0.9901527032555347,1.0074399665980993,,1.0150826812406821
2013-01-31,0.9988453477847153,0.989518744696787,1.0064944233473756,,1.015456753573097
2013-02-01,1.0041921278330779,0.9961397225485621,1.0122503998526922,,1.018895938572682
2013-02-04,0.9981999321423782,0.990361335687046,1.00593517684895,,1.0117353228989647
2013-02-05,1.0037213196316002,0.9937417203199261,1.0111012815546478,,1.0118850211046166
2013-02-06,1.0000574953356163,0.9902197349425654,1.0076144749223739,,1.0071910548039327
2013-02-07,1.0000574953356163,0.9906712715294066,1.0071082086774372,,1.0012339880891379
2013-02-08,1.002049972497168,0.9963585587634464,1.0085574937669142,,1.000785741265639
2013-02-11,1.0015534985223553,0.99698757300509,1.0080510081900171,,1.0016091251963735
