,ES,NQ,YM,RTY,6E
00:00,0.1670009985748762,0.2518306716949403,0.3160930358418427,0.12451137664232013,0.43806677079072265
00:30,0.16114894543414576,0.24963207205564125,0.32557764799647637,0.13382446099720152,0.5059656085134839
01:00,0.20396352876881468,0.3067502558698482,0.39772100558991386,0.1538963770146073,0.6523584361616351
01:30,0.2123604641286279,0.3135860104316326,0.4040284698752297,0.1734233996543656,0.8204516115712488
02:00,0.38741863660280523,0.49766411132984767,0.7208078900663809,0.30482436264383034,1.900036391621053
02:30,0.3513325826286229,0.4486521670818141,0.6271698354550796,0.28599529852461975,2.0357899007636684
03:00,0.9036084681023077,0.9573870567670774,1.4947481074341125,0.6600148759604532,3.755786008941666
03:30,0.6890942697626525,0.7514052887082371,1.1135138891958165,0.49909417641197956,3.119068981541096
04:00,0.7175693777202256,0.8367112547558793,1.2370692213786627,0.5840326997051207,3.1263554207259183
04:30,0.5893927683523634,0.6594972371307845,0.971799491882314,0.48308350690452223,2.8280089182848642
05:00,0.5722305370099052,0.6302297010498938,0.9227416902647648,0.46671437671131066,2.7323187282361716
05:30,0.5411558702270155,0.5918508640203359,0.8743513613528788,0.4471059495278355,2.3874829154068253
06:00,0.5615790944926676,0.624242334728592,0.9268664116889209,0.4944178186479969,2.3569070318358643
06:30,0.5827107703226355,0.6436129482369818,0.9414344770683579,0.5090958916067128,2.2427483470009646
07:00,0.720338994557719,0.8153872151235956,1.1155645113340935,0.6558927007745694,2.491733850231914
07:30,0.8044298549873642,0.8641927588780225,1.1604735966246478,0.7200617131733609,2.930894430243981
08:00,1.0893553797273274,1.189398180814763,1.4691222854009192,1.1286197393320458,3.899054029904196
08:30,1.9177874578285976,2.082316132408328,2.284977974033444,2.0913757324131432,6.876632207055026
09:00,1.9254196611676753,2.081042290317519,2.2459462561250625,2.1220481068648334,4.992435959313761
09:30,11.489714935282235,12.899627963812325,12.686253082517556,13.980249305647499,5.692762458272952
10:00,8.730294521923604,9.191743690561086,8.448649090149194,8.742023539812477,6.379821479837188
10:30,7.079824660895485,7.396181804809797,6.763327547593101,6.807328677395021,5.902024266612084
11:00,6.120764621920456,6.2591732815682946,5.811198453645424,5.691505125809315,4.983991749911126
11:30,5.233632249723338,5.36542467208204,4.8811814884958675,4.900518966396523,3.472252282690885
12:00,4.3569557581266745,4.598408458785174,4.109502569407783,4.1498833662032455,2.8434630789459048
12:30,3.8730304861667633,4.070917127099077,3.6106104005801263,3.769799118971203,2.334284752302869
13:00,3.8846112473087313,4.003313716666997,3.589369206497129,3.6474897883937962,2.0785491090566888
13:30,3.7439696913395304,3.844128523684727,3.47433026618881,3.4673490972954677,1.8736491844071401
14:00,4.5141314594823605,4.454592650953052,4.229414322156441,3.9968844330519726,2.2585951607090085
14:30,4.486866615708487,4.323298064488898,4.0830048132837,4.072372321720499,2.453734907920049
15:00,5.047967446719201,4.659693655301073,4.469708286207378,4.528218384763668,1.6740623224161084
15:30,10.947337128031313,7.669964932070831,7.361866183389718,12.900294130161816,1.3948707584002937
16:00,4.280310406139531,2.473003680218862,2.2105015203314737,4.3743580455035875,0.6956954473688561
16:30,0.6108869823574046,0.5153605838090445,0.5110316144893436,0.7824117230057199,0.5250095552374043
18:00,0.26668979327734876,0.3438723137755607,0.3691752882759074,0.3033901523083576,0.33009065019131945
18:30,0.15039109620547433,0.21319122602604762,0.24775967628779394,0.16275235322880532,0.22835346093948028
19:00,0.1834824846594167,0.26155456011134204,0.30840719628553104,0.1779929641637412,0.3494884623504993
19:30,0.1804154559208533,0.2609205410120836,0.32379195178651066,0.18279369485420155,0.3873659950068131
20:00,0.288769540682311,0.38841738838849843,0.47862696641704516,0.2399785144440745,0.5962726052865939
20:30,0.24450863385881244,0.3428023038523277,0.4128744628649294,0.19872853613967248,0.6220489948544201
21:00,0.2508808967983237,0.34498525840061395,0.4267996626655387,0.18911127721250454,0.5596660141652701
21:30,0.25235938568565713,0.34850083179707686,0.4234153779790012,0.18642454543803005,0.5710778578010896
22:00,0.20826849904297795,0.29601376605143365,0.35728577446266596,0.15981659467985262,0.47886761511874004
22:30,0.17823856126410417,0.2532993814032957,0.318235640534007,0.13169380285062768,0.45832876473720513
23:00,0.15381288575482707,0.22522837331040302,0.28025911654937535,0.11532438542930261,0.3940543918160933
23:30,0.1439868953284078,0.20099269855631477,0.2634128823497376,0.10327459160818298,0.3695231254998709
