,ES,NQ,YM,RTY,6E
00:00,0.00022960874997348022,0.00492640753604091,0.000833038492107627,0.0019393367364507388,-0.002705053811169924
00:30,0.003988524890425919,0.004504745496788943,0.004055326335557258,0.0020840971490546293,3.4978368231364566e-05
01:00,-0.001105523850211568,-0.000470483261136552,-0.0011604343200520197,-3.442993108125626e-05,0.00011231140384523848
01:30,0.004313101184325507,0.00467993017855407,0.0031461456832355484,0.004132026764202372,-0.0010064786622702886
02:00,0.006201780052836864,0.006203639151307201,0.0057288255445862276,0.0046310102590122,-0.0006943185388988645
02:30,0.002253865912740348,0.004125494198151064,0.000931689878495102,-0.00019894960612205602,-0.00287836033590203
03:00,0.0023633695541383387,0.0016030129403555742,0.0022325245844191546,0.001445073440515821,0.004273968060434187
03:30,0.0009370727349101464,0.001617034526749945,0.0002778962066282042,0.004113012815184125,0.0014444326712936043
04:00,0.0006894791041703589,-0.0005699484143009925,-0.0013689242542027763,-0.00021393273722888765,-0.00299091262819127
04:30,-0.00016761346209238424,6.947844650411371e-05,8.780458273349655e-05,0.0007396942274777667,-0.002783719728966705
05:00,0.00031301303257358565,0.00019693850547320715,0.000552801356632182,0.004647653844868071,-0.001846360996274241
05:30,0.0015216344465224072,0.0017722873401227828,0.0017163915259248872,0.005070926391220091,-0.0005683183400783372
06:00,-0.002539551215313955,-0.0031038282468121596,-0.0028205052734654027,-0.005168520502477326,-3.681406102897949e-05
06:30,0.005546842635962932,0.0037371200087423524,0.005257511891345852,0.0121214734153371,-0.00596303824002275
07:00,0.0023866497658738034,0.004118542361365868,0.0018756116728211106,0.005018972824627155,-0.0007509145114389266
07:30,-0.0030833148849314053,-0.002344762092123383,-0.0029515596030824064,-0.00456506135345259,-0.008467210114901348
08:00,0.0003043915078887523,0.000637242987886656,-0.0007139039947376414,0.0004391936166696134,0.006964307021819266
08:30,0.0019689886069695884,0.0016837368294534039,0.0014234311395798331,0.010369786560465017,-0.0011558479212309765
09:00,0.0007052946012435535,-0.003066560482150468,-0.0012649380441673776,-0.004057625126985062,-0.0007057019008271562
09:30,0.006109934898972416,0.01105084780741205,0.006788768724566557,-0.004960162606967113,0.001814338486386281
10:00,0.00019069636227561542,-0.0007280212790370664,0.00025584614005169187,-0.00732771467486253,0.0018380535284593337
10:30,-0.004777585500077258,-0.009072594709432898,-0.0043038683490472995,-0.008570405055311802,-0.003846667654179442
11:00,0.004823452138844409,0.009474430850366113,0.0035742074408926868,0.0033118978090434523,0.005153482514343889
11:30,0.005208496990909132,0.005572372227633033,0.004875690818686195,0.01029336168300733,-0.004581680910594789
12:00,2.9221780033098213e-05,-0.001548307990298409,0.0001926854311195266,-0.001224022572369859,0.00013550612495899175
12:30,0.005010203121155441,0.0031227657112111377,0.00424653024539219,0.0008179721223754886,0.0015894966651004844
13:00,-0.004153040244853732,-0.002596581052312044,-0.004077988840856394,-0.0060292768667442416,0.002557572090216476
13:30,0.0024060522534095565,0.0021936773932128826,0.0019145498832219387,0.00606217970720744,-0.0003009322709125429
14:00,0.0020703177532704776,0.001626177214207249,0.0016088099526852212,-0.0012032621058551012,0.0015520680415325974
14:30,0.006419048511048792,0.011397834295177472,0.005553105144114862,0.00903074526756352,-0.00010189753093668866
15:00,0.001473760188258771,-0.0025720089719978413,0.0024795220325989956,-0.007788934032635828,0.0015724779688687024
15:30,-0.00493833411178651,-0.002846287304763115,-0.00569097147360999,-0.01607655270194427,-0.0005935923668119215
16:00,0.005417371161696343,0.009513846193299208,0.006419249901237039,0.007586663522134804,0.000940963111767772
16:30,0.0018255958812143658,0.006129395808500531,0.00422193244255036,0.0010977439691008117,-0.0006258943244448998
18:00,-0.002704551825293181,-0.004549285096749943,-0.003969867021074752,0.0021056699918239243,0.00027600594472321476
18:30,0.0005817207563320533,0.00022047738662641598,0.0020631604938439203,0.00013182094085946843,0.0018517326668629935
19:00,0.0005459466615203488,0.001615339052803782,0.0009245828959941963,0.0023643114817406452,-0.0014986932121763231
19:30,0.0002417598148439797,0.0016327695631881364,0.0006060035171104338,-0.0007253592150417408,-0.00011427579533493676
20:00,0.0011938376592826785,0.0033346812166693894,0.0012779929092129258,0.002149523614412567,-0.00022644735707725395
20:30,-0.0016968417763681617,-0.00018382097229246934,-0.0015253168817240328,-0.0019878250827129085,0.0010274180573131427
21:00,0.00046341817805274404,0.0008909050096233837,0.00043515406192358815,-0.0006096739324274231,0.0006742951930401097
21:30,0.0010466194991051838,0.0015249200958142358,0.0005124952248268028,0.002892784180426868,0.0004900407664483685
22:00,-0.0016354167517493082,-0.0007709076612813828,-0.0018573108030026462,-0.0013021969223577842,0.0036411301768125926
22:30,-0.0012407022058716318,-0.001594218623615965,-0.0010131973845142897,-0.0009154809437519972,-0.0003909748855944052
23:00,0.0008184136020416286,0.0011684104874686338,0.000585471642999678,0.002882216673104937,0.001969195005931441
23:30,0.00022498340953292932,-0.00014819038125567463,0.0008528556920743307,-0.00043558143165833683,-0.0021191065349332587
